Time (min),Temperature (C),TG (mg),Mass Percentage,Conversion
6.0334,82.53,7.6433,87.2891518106963,0.708781761446857
6.05,82.43,7.642,87.2743053572856,0.709609628733363
6.0667,82.64,7.6407,87.2594589038749,0.710437496019869
6.0834,82.37,7.6394,87.2446124504642,0.711265363306374
6.1,82.43,7.6382,87.2309080319313,0.712029548493918
6.1167,82.76,7.6369,87.2160615785206,0.712857415780424
6.1334,82.33,7.6356,87.2012151251099,0.71368528306693
6.15,82.15,7.6344,87.187510706577,0.714449468254473
6.1667,82.54,7.6331,87.1726642531663,0.71527733554098
6.1834,82.62,7.6319,87.1589598346334,0.716041520728523
6.2,82.52,7.6308,87.1463974509781,0.716742023817105
6.2167,82.73,7.6298,87.1349771022007,0.717378844806725
6.2334,82.43,7.6288,87.1235567534233,0.718015665796345
6.25,82.65,7.6277,87.1109943697681,0.718716168884926
6.2667,82.4,7.6267,87.0995740209906,0.719352989874546
6.2834,82.5,7.6257,87.0881536722132,0.719989810864166
6.3,82.55,7.6246,87.075591288558,0.720690313952748
6.3167,82.61,7.6236,87.0641709397805,0.721327134942368
6.3334,82.44,7.6226,87.0527505910031,0.721963955931987
6.35,82.23,7.6216,87.0413302422256,0.722600776921607
6.3667,82.77,7.6205,87.0287678585704,0.723301280010189
6.3834,82.5,7.6195,87.017347509793,0.723938100999809
6.4,82.19,7.6185,87.0059271610155,0.724574921989429
6.4167,82.63,7.6175,86.9945068122381,0.725211742979049
6.4334,82.79,7.6164,86.9819444285829,0.72591224606763
6.45,82.63,7.6154,86.9705240798054,0.72654906705725
6.4667,82.4,7.6144,86.9591037310279,0.72718588804687
6.4834,82.34,7.6134,86.9476833822505,0.727822709036489
6.5,82.2,7.6124,86.9362630334731,0.728459530026109
6.5167,82.56,7.6113,86.9237006498178,0.729160033114691
6.5334,82.72,7.6103,86.9122803010404,0.729796854104311
6.55,82.71,7.6093,86.9008599522629,0.730433675093931
6.5667,82.55,7.6083,86.8894396034855,0.731070496083551
6.5834,82.3,7.6073,86.878019254708,0.73170731707317
6.6,82.56,7.6062,86.8654568710528,0.732407820161752
6.6167,82.47,7.6052,86.8540365222754,0.733044641151372
6.6334,82.47,7.6042,86.842616173498,0.733681462140992
6.65,82.67,7.6032,86.8311958247205,0.734318283130612
6.6667,82.61,7.6021,86.8186334410653,0.735018786219194
6.6834,82.41,7.6011,86.8072130922878,0.735655607208814
6.7,82.57,7.6001,86.7957927435104,0.736292428198433
6.7167,82.81,7.5991,86.7843723947329,0.736929249188053
6.7334,82.38,7.5981,86.7729520459555,0.737566070177673
6.75,82.18,7.597,86.7603896623003,0.738266573266255
6.7667,82.67,7.596,86.7489693135228,0.738903394255874
6.7834,82.37,7.595,86.7375489647454,0.739540215245494
6.8,82.47,7.594,86.7261286159679,0.740177036235114
6.8167,82.08,7.5929,86.7135662323127,0.740877539323696
6.8334,82.46,7.5919,86.7021458835353,0.741514360313316
6.85,82.51,7.5909,86.6907255347578,0.742151181302936
6.8667,82.43,7.5899,86.6793051859804,0.742788002292555
6.8834,82.49,7.5889,86.6678848372029,0.743424823282175
6.9,82.86,7.5878,86.6553224535477,0.744125326370757
6.9167,82.55,7.5868,86.6439021047703,0.744762147360377
6.9334,82.48,7.5858,86.6324817559928,0.745398968349997
6.95,82.56,7.5848,86.6210614072154,0.746035789339617
6.9667,82.67,7.5838,86.6096410584379,0.746672610329236
6.9834,82.56,7.5827,86.5970786747827,0.747373113417818
7,82.72,7.5817,86.5856583260053,0.748009934407438
7.0167,82.42,7.5807,86.5742379772278,0.748646755397058
7.0334,82.33,7.5797,86.5628176284504,0.749283576386678
7.05,82.52,7.5787,86.5513972796729,0.749920397376298
7.0667,82.52,7.5777,86.5399769308955,0.750557218365917
7.0834,82.32,7.5766,86.5274145472403,0.751257721454499
7.1,82.51,7.5756,86.5159941984628,0.751894542444119
7.1167,82.61,7.5746,86.5045738496854,0.752531363433739
7.1334,82.48,7.5736,86.4931535009079,0.753168184423359
7.15,82.32,7.5726,86.4817331521305,0.753805005412979
7.1667,82.39,7.5716,86.470312803353,0.754441826402598
7.1834,82.92,7.5706,86.4588924545756,0.755078647392218
7.2,82.28,7.5695,86.4463300709204,0.7557791504808
7.2167,82.47,7.5685,86.4349097221429,0.756415971470419
7.2334,82.35,7.5675,86.4234893733655,0.757052792460039
7.25,82.73,7.5665,86.412069024588,0.757689613449659
7.2667,82.39,7.5655,86.4006486758106,0.758326434439279
7.2834,82.78,7.5645,86.3892283270331,0.758963255428899
7.3,82.47,7.5635,86.3778079782557,0.759600076418518
7.3167,82.52,7.5625,86.3663876294782,0.760236897408139
7.3334,82.37,7.5615,86.3549672807008,0.760873718397759
7.35,82.77,7.5605,86.3435469319233,0.761510539387378
7.3667,82.56,7.5595,86.3321265831459,0.762147360376998
7.3834,82.41,7.5585,86.3207062343684,0.762784181366617
7.4,82.64,7.5575,86.309285885591,0.763421002356237
7.4167,82.41,7.5565,86.2978655368135,0.764057823345858
7.4334,82.72,7.5555,86.2864451880361,0.764694644335477
7.45,82.28,7.5545,86.2750248392586,0.765331465325097
7.4667,82.48,7.5535,86.2636044904811,0.765968286314717
7.4834,82.26,7.5525,86.2521841417037,0.766605107304336
7.5,82.76,7.5515,86.2407637929262,0.767241928293957
7.5167,82.21,7.5505,86.2293434441488,0.767878749283577
7.5334,82.1,7.5496,86.2190651302491,0.768451888174234
7.55,82.81,7.5486,86.2076447814716,0.769088709163854
7.5667,82.5,7.5476,86.1962244326942,0.769725530153474
7.5834,82.55,7.5466,86.1848040839167,0.770362351143094
7.6,82.38,7.5456,86.1733837351393,0.770999172132713
7.6167,82.33,7.5446,86.1619633863618,0.771635993122333
7.6334,82.43,7.5436,86.1505430375844,0.772272814111953
7.65,82.92,7.5427,86.1402647236847,0.772845953002611
7.6667,82.41,7.5417,86.1288443749072,0.77348277399223
7.6834,82.53,7.5407,86.1174240261298,0.77411959498185
7.7,82.53,7.5397,86.1060036773523,0.77475641597147
7.7167,82.55,7.5388,86.0957253634526,0.775329554862128
7.7334,82.39,7.5378,86.0843050146752,0.775966375851748
7.75,82.51,7.5368,86.0728846658977,0.776603196841368
7.7667,82.24,7.5359,86.062606351998,0.777176335732026
7.7834,82.6,7.5349,86.0511860032205,0.777813156721645
7.8,82.64,7.5339,86.0397656544431,0.778449977711265
7.8167,82.27,7.533,86.0294873405434,0.779023116601923
