Time (min),Temperature (C),TG (mg),Temperature (Celsius),Exp. Repetition,Lifting,Material
14.816667,75.51,5.817000023,,,,
14.833333,75.55,5.814999968,,,,
14.85,75.48,5.817000023,,,,
14.866667,75.7,5.814999968,,,,
14.883333,75.55,5.813999989,,,,
14.9,75.21,5.81300001,,,,
14.916667,75.4,5.813999989,,,,
14.933333,75.46,5.813999989,,,,
14.95,75.55,5.810999955,,,,
14.966667,75.52,5.81300001,,,,
14.983333,75.3,5.810999955,,,,
15,75.57,5.812000031,,,,
15.016667,75.25,5.810999955,,,,
15.033333,75.59,5.810999955,,,,
15.05,75.54,5.808999997,,,,
15.066667,75.11,5.809999976,,,,
15.083333,75.33,5.810999955,,,,
15.1,75.34,5.812000031,,,,
15.116667,75.29,5.810999955,,,,
15.133333,75.21,5.809999976,,,,
15.15,75.12,5.808000018,,,,
15.166667,75.32,5.812000031,,,,
15.183333,75.39,5.81300001,,,,
15.2,75.4,5.810999955,,,,
15.216667,75.51,5.809999976,,,,
15.233333,75.55,5.809999976,,,,
15.25,75.33,5.808999997,,,,
15.266667,75.48,5.807000039,,,,
15.283333,75.59,5.805999964,,,,
15.3,75.52,5.804999984,,,,
15.316667,75.33,5.805999964,,,,
15.333333,75.41,5.804000005,,,,
15.35,75.47,5.805999964,,,,
15.366667,75.3,5.805999964,,,,
15.383333,75.72,5.804000005,,,,
15.4,75.65,5.804000005,,,,
15.416667,75.31,5.805999964,,,,
15.433333,75.47,5.805999964,,,,
15.45,75.35,5.804999984,,,,
15.466667,75.2,5.805999964,,,,
15.483333,75.34,5.802000047,,,,
15.5,75.42,5.805999964,,,,
15.516667,75.12,5.802000047,,,,
15.533333,75.35,5.804000005,,,,
15.55,75.45,5.804000005,,,,
15.566667,75.45,5.802000047,,,,
15.583333,75.43,5.803000026,,,,
15.6,75.37,5.804999984,,,,
15.616667,75.45,5.803000026,,,,
15.633333,75,5.800999972,,,,
15.65,75.6,5.79599998,,,,
15.666667,75.67,5.800999972,,,,
